Category,Features,Analysis Description (Incl.What to Look For As A Question),Sample Tagging,Notes
,,,"message_type: ""benefit"" | ""feature"" | ""mixed""",
Text & Messaging Pressence,CTA Type,"What type of call to action (CTA) is used, if any?","buy now, learn more, click to call, etc.",
,,,,
,,,cta_type:,
,,,"  ""buy_now"" |",
,,,"  ""shop_now"" |",
,,,"  ""learn_more"" |",
,,,"  ""subscribe"" |",
,,,"  ""add_to_cart"" |",
,,,"  ""none""",
Text & Messaging Pressence,CTA Text,What text is used in this call to action (CTA)?,,
Text & Messaging Pressence,Longform Copy,"If longform copy is used, for example within descriptive content on a page, does it leverage bulleted lists or other ways to highlight common or different themes?",,
Text & Messaging Pressence,How to Use Copy,Does the PDP feature how-to-use instructions?,,
Text & Messaging Pressence,Feature Bullets,If any Amazon PDP - is there a minimum of 5 feature bullets?,,Best practice is minimum
Branding Elements,Brand Logo,Does the creative contain a brand logo?,,
Trust & Persuasion Signals,Claims,Does the creative feature #1 or best-seller type claims?,,Flag for compliance check
Trust & Persuasion Signals,Awards/Badges,Are any awards or badges included within the creative?,,
Trust & Persuasion Signals,Certifications,"Are certifications featured on the creative or in copy (i.e., Vegan, dermatologist-tested)?",,
Product Information Coverage,Ingredients,Is there an ingredient tile featured on the PDP?,,
Product Information Coverage,Ingredients,Are the ingredients called out in the description or feature bullets?,,
Product Information Coverage,Product Variant,"If this is for a specific product, what variant of that product is featured?","Will vary, for example a specific color-way or product use case",
Product Information Coverage,Price,"Is price featured in the creative, yes or no?",,
Product Information Coverage,Product Name/ID,"What is the specific product, if any, the asset is being used to promote?",,"This will not be relevant if assessing creative for multiple products, like a multi-product ad campaign, brand store, homepage, or category page"
Product Information Coverage,Offer Type,What is the category of the offer?,Percentage Off; Dollar Amount Off; Buy One Get One (BOGO); Gift With Purchase; etc,
Product Information Coverage,Discount Status,"Does the offer include a discount to the price, yes or no?",,
Product Information Coverage,Discount Detail,If the offer is a discount (e.g. price reduction); what is that level of discount as a percentage of the price?,,
Creative Type,Ad Type,"If this is a paid advertisement, what type of ad is it?",static banner ad; video ad; rich media ad; carosel ad; etc.,
Brand Store Attributes,Hero Banner,Does the brand store feature a hero banner?,,
Brand Store Attributes,Category Nav,Does the brand store reature category navigation tiles?,,
Brand Store Attributes,Shoppable Imagery,Does the brand store feature shoppable images?,,Hot-spot functionality
Brand Store Attributes,Product Grouping,Is there clear product grouping (collections/categories) outlined on the brand store?,,
Brand Store Attributes,Cross-Sell/Upsell,Are there cross-sell or up sell assets featured on the brand store?,,Cross-sell of collections within the same brand
Paid Ads Creative,Pattern Disruption,Does the ad visually stand out vs typical feed content?,pattern_disruption: true | false,
Paid Ads Creative,Bold Visual Elements,"Are high-contrast colors, motion, or unexpected visuals used?","visual_intensity: ""high"" | ""moderate"" | ""low""",
Paid Ads Creative,Message Clarity,Is the core message understandable instantly?,"message_clarity: ""clear"" | ""partial"" | ""unclear""",
Paid Ads Creative,Brand Recognition Speed,Is the brand identifiable quickly (within 3 seconds)?,"brand_presence_timing: ""immediate"" | ""delayed"" | ""absent""",
Paid Ads Creative,Creative Format,What was the format of the ad?,"format: ""static"" | ""video"" | ""carousel"" | ""gif""",
Paid Ads Creative,Value Prop,Is the value prop clear in the ad?,"value_prop: ""clear"" | ""generic"" | ""unclear""",
Paid Ads Creative,CTA Presence,Is there a call to action present in the ad creative?,cta_present: true | false,
Paid Ads Creative,CTA Type,What is the CTA type?,cta_type:,
,,,"  ""shop_now"" |",
,,,"  ""learn_more"" |",
,,,"  ""buy_now"" |",
,,,"  ""sign_up"" |",
,,,"  ""subscribe"" |",
,,,"  ""none""",
Reviews,Number of Reviews,,,
Rating,PDP Rating,,,
Image Type & Composition,number of images,,,
Performance Metrics,Outcome Data Join,Can the agent join creative tags to performance outcomes per asset?,"Impressions, Clicks, CTR, CVR, ROAS/ACOS, Units Sold, Attributed Sales, Detail Page Views, Add-to-Cart rate, Glance Views",
Performance Metrics,Brand Store / PDP Engagement,What engagement metrics are available for PDP and Brand Store assets?,"Dwell time, scroll depth, sub-page click-through, module-level click rate, hot-spot engagement",
Mobile Rendering,Mobile Optimization,Is the creative optimized for mobile rendering and the mobile fold?,mobile_optimized: true | false; text_legible_at_thumbnail: true | false; key_info_above_mobile_fold: true | false,
Mobile Rendering,Aspect Ratio Variants,"Are all required aspect ratios delivered (1:1, 16:9, 9:16, 4:5)?",aspect_ratios_delivered: [list]; missing_ratios: [list],
Video Attributes,Hook & Pacing,Does the video hook viewers in the first 3 seconds and maintain pacing?,hook_strength: strong | moderate | weak; product_reveal_timing_seconds: <number>; cuts_per_second: <number>,
Video Attributes,Captions & Sound-Off Viewing,Are captions or burned-in text present for sound-off viewing?,captions_present: true | false; caption_type: burned_in | closed | none,
Video Attributes,Video Length,What is the video duration and does it fit retailer specs?,duration_seconds: <number>; meets_sponsored_brands_spec: true | false (≤30s),
Accessibility,Alt Text & Contrast,Does the asset include alt text and meet color contrast standards on text overlays?,alt_text_present: true | false; contrast_ratio_passes_wcag_aa: true | false,
Asset Lifecycle,Freshness & Fatigue,How long has the asset been live and is performance decaying?,date_launched: YYYY-MM-DD; days_live: <number>; frequency: <number>; performance_trend: improving | stable | declining,
Test Metadata,Variant / Test Designation,Is this asset part of an A/B test? Control or treatment?,test_id: <string>; variant_role: control | treatment_a | treatment_b | none; test_hypothesis: <string>,
Seasonality,Event / Seasonal Tag,"Is the asset tied to a specific event, season, or tentpole moment?",event: Prime Day | Black Friday | Cyber Monday | Walmart Deals | Valentines | Mothers Day | Back to School | Holiday | Evergreen | other,
Competitive Context,Category Conventions & Comparison,Does the creative follow or break category visual conventions? Is there a competitive comparison?,follows_category_conventions: true | false; competitive_comparison_present: true | false,
Structural Note,Tagging vs. Assessment Split,Should descriptive tagging and judgment-based assessment be separated?,N/A — structural recommendation,
